image,split,source_image,is_dark_augmented,num_labels
front_dataset_0000.jpg,train,front_dataset_0000.jpg,false,1
front_dataset_0001.jpg,train,front_dataset_0001.jpg,false,2
front_dataset_0002.jpg,train,front_dataset_0002.jpg,false,3
front_dataset_0003.jpg,train,front_dataset_0003.jpg,false,1
front_dataset_0004.jpg,train,front_dataset_0004.jpg,false,2
front_dataset_0005.jpg,train,front_dataset_0005.jpg,false,3
front_dataset_0006.jpg,train,front_dataset_0006.jpg,false,3
front_dataset_0007.jpg,train,front_dataset_0007.jpg,false,5
front_dataset_0008.jpg,train,front_dataset_0008.jpg,false,4
front_dataset_0009.jpg,train,front_dataset_0009.jpg,false,4
front_dataset_0010.jpg,valid,front_dataset_0010.jpg,false,4
front_dataset_0011.jpg,train,front_dataset_0011.jpg,false,2
front_dataset_0012.jpg,train,front_dataset_0012.jpg,false,2
front_dataset_0013.jpg,test,front_dataset_0013.jpg,false,1
front_dataset_0014.jpg,train,front_dataset_0014.jpg,false,2
front_dataset_0015.jpg,train,front_dataset_0015.jpg,false,2
front_dataset_0016.jpg,train,front_dataset_0016.jpg,false,1
front_dataset_0017.jpg,valid,front_dataset_0017.jpg,false,2
front_dataset_0018.jpg,valid,front_dataset_0018.jpg,false,2
front_dataset_0019.jpg,train,front_dataset_0019.jpg,false,3
front_dataset_0020.jpg,train,front_dataset_0020.jpg,false,2
front_dataset_0021.jpg,valid,front_dataset_0021.jpg,false,2
front_dataset_0022.jpg,train,front_dataset_0022.jpg,false,5
front_dataset_0023.jpg,train,front_dataset_0023.jpg,false,3
front_dataset_0024.jpg,train,front_dataset_0024.jpg,false,3
front_dataset_0025.jpg,train,front_dataset_0025.jpg,false,2
front_dataset_0026.jpg,train,front_dataset_0026.jpg,false,2
front_dataset_0027.jpg,train,front_dataset_0027.jpg,false,2
front_dataset_0028.jpg,test,front_dataset_0028.jpg,false,1
front_dataset_0029.jpg,valid,front_dataset_0029.jpg,false,1
front_dataset_0030.jpg,valid,front_dataset_0030.jpg,false,2
front_dataset_0031.jpg,train,front_dataset_0031.jpg,false,4
front_dataset_0032.jpg,train,front_dataset_0032.jpg,false,4
front_dataset_0033.jpg,valid,front_dataset_0033.jpg,false,5
front_dataset_0034.jpg,test,front_dataset_0034.jpg,false,4
front_dataset_0035.jpg,valid,front_dataset_0035.jpg,false,5
